crop,stage,month,site,altitud ,Acrididae,Agromyzidae,Aleyrodidae,Aphididae,Apidae,Apidae ,Arctiidae,Berytidae,Bibionidae ,Braconidae,Calliphoridae,Cantharidae,Cerambycidae ,Cercopidae,Chloropidae,Chrysomelidae,Chrysopidae,Cicadellidae,Coccidae ,Coccinellidae,Coreidae,Coreidae ,Curculionidae,Delphacidae,Diapriidae,Dolichopodidae,Drosophilidae,Elateridae,Empididae,Eulophidae,Eupelmidae,Figitidae,Forficulidae,Formicidae,Gelechiidae,Geometridae,Gryllidae,Halictidae,Halictidae ,Hemerobiidae,Hesperiidae,ichneumonidae,Lampyridae,Largidae,Lonchaeidae,Lonchaeidae ,Lycidae,Lygaeidae,Melolonthidae,Melyridae,Membracidae,Membracidae ,Miridae ,Muscidae,Mutillidae,Mycetophilidae,Nitidulidae,Noctuidae,Pentatomidae,Phoridae,Ptilodactylidae,Pyralidae,Pyrrhocoridae,Reduviidae,Sarcophagidae,Sciaridae,Scutelleridae,Sepsidae,Sphaeroceridae,Staphylinidae ,Syrphidae,Tachinidae,Tenthredinidae,Thripidae,Tiphiidae,Tipulidae,Trigonalidae,Ulidiidae,Vespidae
Purple Passionfruit,Produccion,JUL ,Esmeralda,"1,905",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,8,3,13,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,2,0,0,11,0,0,0,0,0,1,7,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Purple Passionfruit,Produccion,JUL,La Cumbre,"2,318",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,13,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Purple Passionfruit,Produccion,AGO,Esmeralda,"1,905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Purple Passionfruit,Produccion,AGO,La Cumbre,"2,318",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Purple Passionfruit,Produccion,SEP,Esmeralda,"1,905",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Purple Passionfruit,Produccion,SEP,La Cumbre,"2,318",0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Purple Passionfruit,Siembra,MAY,Esmeralda,"1,932",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,6,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
Purple Passionfruit,Siembra,MAY,Violetas,"2,185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,10,0,0,0,0,0
Purple Passionfruit,Siembra,JUN,Esmeralda,"1,932",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,4,0,1,0,0,17,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
Purple Passionfruit,Siembra,JUN,Violetas,"2,185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
Purple Passionfruit,Siembra,JUL,Esmeralda,"1,932",0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,3,0,0,1
Purple Passionfruit,Siembra,JUL,Violetas,"2,185",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Purple Passionfruit,Siembra,SEP,Esmeralda,"1,932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Purple Passionfruit,Siembra,SEP,Violetas,"2,185",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0
Purple Passionfruit,Siembra,AGO,Esmeralda,"1,932",0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0
Purple Passionfruit,Siembra,AGO,Violetas,"2,185",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,1,0
